Order ID,Product Name,Region,Sale Amount,Sale Date,Units Sold
1000,Gadget X,East,"$1,344",2024-04-16,8
1001,Gadget Y,East,"$1,688",2024-05-01,19
1002,Widget C,North,$137,2024-04-09,40
1003,Widget C,West,"$1,382",2024-09-14,24
1004,Gadget X,West,$855,2024-07-10,21
1005,Widget A,South,"$1,387",2024-01-22,44
1006,Widget A,East,$524,2024-02-28,42
1007,Gadget X,South,"$1,025",2024-09-27,47
1008,Widget C,South,"$1,640",2024-08-31,3
1009,Gadget Y,North,$696,2024-01-21,9
1010,Widget B,South,$650,2024-01-14,9
1011,Widget B,East,$947,2024-04-01,47
1012,Gadget X,North,"$1,501",2024-09-20,47
1013,Widget C,West,"$1,154",2024-02-19,40
1014,Gadget X,West,"$1,071",2024-02-23,42
1015,Gadget X,West,"$1,550",2024-07-09,18
1016,Widget B,South,$211,2024-07-20,36
1017,Gadget X,East,"$1,775",2024-10-22,21
1018,Gadget Y,West,$928,2024-02-22,24
1019,Widget B,East,$813,2024-07-06,45
1020,Widget A,East,$64,2024-03-05,25
1021,Widget A,South,"$1,202",2024-05-15,24
1022,Widget C,North,$642,2024-06-11,35
1023,Widget A,North,"$1,846",2024-08-18,41
1024,Gadget X,North,$250,2024-09-24,34
1025,Widget A,South,$552,2024-03-02,24
1026,Gadget Y,North,$733,2024-08-01,27
1027,Widget C,East,"$1,812",2024-04-10,47
1028,Widget C,East,"$1,078",2024-08-05,14
1029,Widget C,East,$256,2024-01-15,26
1030,Widget B,South,"$1,534",2024-06-27,32
1031,Widget A,South,"$1,070",2024-04-05,4
1032,Gadget Y,North,$280,2024-08-24,15
1033,Widget C,East,"$1,109",2024-01-13,32
1034,Widget C,North,"$1,159",2024-10-10,2
1035,Widget B,East,"$1,647",2024-05-13,28
1036,Gadget X,South,"$1,629",2024-10-12,11
1037,Widget B,North,"$1,421",2024-08-18,33
1038,Widget A,East,"$1,356",2024-04-30,13
1039,Widget A,North,"$1,432",2024-07-16,8
1040,Widget C,East,$367,2024-06-13,33
1041,Widget C,West,$733,2024-05-31,15
1042,Widget C,West,"$1,745",2024-04-05,24
1043,Widget A,South,"$1,186",2024-02-21,12
1044,Widget B,North,"$1,186",2024-04-10,49
1045,Widget A,North,$162,2024-01-02,2
1046,Gadget X,West,$904,2024-08-11,33
1047,Widget A,North,"$1,711",2024-05-09,44
1048,Widget B,South,"$1,783",2024-09-03,4
1049,Widget C,South,$172,2024-09-11,38
1050,Gadget Y,South,"$1,683",2024-07-16,22
1051,Widget C,North,$801,2024-05-23,33
1052,Widget A,South,$236,2024-09-15,20
1053,Gadget X,North,$452,2024-05-26,20
1054,Gadget X,East,$978,2024-05-07,39
1055,Widget B,South,$690,2024-09-23,28
1056,Widget A,East,$200,2024-10-24,35
1057,Gadget X,South,$395,2024-04-21,49
1058,Widget B,East,"$1,377",2024-09-10,12
1059,Gadget Y,East,"$1,233",2024-01-09,41
